epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.9305,1.13459,2.3353,1.3241,0.68704,0.67592,0.73776,0.56688,0.7255,1.81801,1.10601,0.000331761,0.000331761,0.000331761
2,189.613,0.95184,1.38915,1.19697,0.77809,0.68843,0.74965,0.56784,0.7521,1.46891,1.12912,0.00065851,0.00065851,0.00065851
3,282.55,0.92314,1.23127,1.17368,0.82764,0.79823,0.8538,0.66702,0.68698,1.04656,1.06005,0.000978659,0.000978659,0.000978659
4,375.751,0.87199,1.14114,1.15737,0.8503,0.79142,0.86661,0.68487,0.67806,1.09285,1.07417,0.0009703,0.0009703,0.0009703
5,471.697,0.85777,1.03162,1.13578,0.88324,0.78248,0.8755,0.71016,0.6183,0.90119,1.01231,0.0009604,0.0009604,0.0009604
6,569.999,0.80865,0.95043,1.11222,0.89012,0.87539,0.9233,0.75895,0.5901,0.75886,0.99284,0.0009505,0.0009505,0.0009505
7,698.807,0.80111,0.89668,1.10399,0.90007,0.85484,0.91814,0.76335,0.57214,0.7391,0.97621,0.0009406,0.0009406,0.0009406
8,802.944,0.77168,0.8367,1.0845,0.85807,0.86388,0.9048,0.76184,0.56136,0.74094,0.97354,0.0009307,0.0009307,0.0009307
9,904.664,0.75312,0.79507,1.09329,0.91609,0.89917,0.9482,0.8016,0.54666,0.60495,0.96964,0.0009208,0.0009208,0.0009208
10,1006.23,0.73939,0.76673,1.08534,0.89867,0.88368,0.93875,0.80976,0.5179,0.60098,0.95354,0.0009109,0.0009109,0.0009109
11,1140.34,0.73455,0.72729,1.0712,0.95339,0.89804,0.95601,0.82231,0.51433,0.52971,0.95555,0.000901,0.000901,0.000901
12,1799.29,0.7231,0.7293,1.06444,0.93219,0.86813,0.92323,0.79904,0.50447,0.50305,0.94561,0.0008911,0.0008911,0.0008911
13,1893.19,0.72243,0.69162,1.06617,0.92077,0.9001,0.94989,0.82197,0.50292,0.49118,0.93707,0.0008812,0.0008812,0.0008812
14,1983.79,0.69154,0.66693,1.04642,0.91926,0.90374,0.94557,0.8356,0.46071,0.46298,0.90758,0.0008713,0.0008713,0.0008713
15,2074.86,0.68706,0.64855,1.04992,0.96476,0.9216,0.96705,0.85029,0.45835,0.44764,0.90975,0.0008614,0.0008614,0.0008614
16,2167.13,0.69264,0.64643,1.05384,0.95807,0.92607,0.96786,0.84461,0.48253,0.42445,0.92722,0.0008515,0.0008515,0.0008515
17,2261.59,0.67586,0.62148,1.03455,0.9197,0.90894,0.95697,0.84357,0.45419,0.44627,0.90649,0.0008416,0.0008416,0.0008416
18,2358.02,0.66837,0.61648,1.03688,0.95524,0.90172,0.95814,0.84268,0.47416,0.42707,0.92117,0.0008317,0.0008317,0.0008317
19,2455.62,0.65136,0.58718,1.02344,0.94116,0.91026,0.96802,0.86177,0.44288,0.42937,0.90038,0.0008218,0.0008218,0.0008218
20,2554.1,0.67285,0.58617,1.02698,0.95925,0.92773,0.96883,0.8588,0.45426,0.3983,0.89938,0.0008119,0.0008119,0.0008119
21,2655.18,0.65026,0.58906,1.0331,0.95924,0.92698,0.97106,0.86732,0.43795,0.38779,0.8905,0.000802,0.000802,0.000802
22,2754.82,0.64206,0.56708,1.01774,0.97292,0.93213,0.97411,0.86678,0.43568,0.37541,0.89279,0.0007921,0.0007921,0.0007921
23,2854.55,0.6469,0.56428,1.01794,0.95362,0.9329,0.97151,0.87175,0.41735,0.37899,0.88671,0.0007822,0.0007822,0.0007822
24,2964.12,0.64056,0.53619,1.01174,0.95174,0.93561,0.9727,0.87446,0.41546,0.35874,0.88468,0.0007723,0.0007723,0.0007723
25,3077.04,0.62601,0.5338,1.00968,0.96203,0.93607,0.97335,0.87553,0.41363,0.38196,0.87732,0.0007624,0.0007624,0.0007624
26,3192.45,0.6171,0.53109,1.0141,0.95728,0.93492,0.97425,0.87914,0.41021,0.35133,0.87447,0.0007525,0.0007525,0.0007525
27,3307.55,0.62734,0.52919,1.00865,0.97342,0.93808,0.97696,0.87961,0.41306,0.34387,0.87421,0.0007426,0.0007426,0.0007426
28,3449.53,0.60251,0.53343,1.0022,0.95415,0.93665,0.97286,0.8772,0.40654,0.36182,0.87831,0.0007327,0.0007327,0.0007327
29,3632.33,0.60349,0.52651,1.01127,0.9689,0.94102,0.97483,0.87455,0.40629,0.34287,0.87597,0.0007228,0.0007228,0.0007228
30,3746.05,0.59583,0.50357,1.00079,0.97258,0.9335,0.98031,0.88851,0.39476,0.32916,0.86353,0.0007129,0.0007129,0.0007129
31,3847.63,0.58992,0.49567,0.99707,0.96404,0.94281,0.97696,0.88454,0.3888,0.34198,0.86168,0.000703,0.000703,0.000703
32,3947.09,0.60106,0.50263,1.00723,0.95605,0.95606,0.97954,0.89161,0.38783,0.32049,0.86491,0.0006931,0.0006931,0.0006931
33,4047.5,0.58385,0.47582,0.99708,0.97509,0.94473,0.98166,0.891,0.38646,0.31873,0.86434,0.0006832,0.0006832,0.0006832
34,4147.74,0.58817,0.48237,0.99255,0.9783,0.94387,0.98221,0.89575,0.37901,0.30318,0.8559,0.0006733,0.0006733,0.0006733
35,4247.19,0.5873,0.49028,0.99399,0.98127,0.93076,0.9725,0.88647,0.38528,0.3206,0.85556,0.0006634,0.0006634,0.0006634
36,4347.02,0.58442,0.47792,0.98753,0.96986,0.93702,0.97813,0.88943,0.3842,0.31172,0.86008,0.0006535,0.0006535,0.0006535
37,4449.2,0.57942,0.46018,0.99004,0.96854,0.94638,0.97737,0.89221,0.37984,0.30359,0.8589,0.0006436,0.0006436,0.0006436
38,4549.54,0.55979,0.45327,0.9811,0.96944,0.94199,0.98058,0.89544,0.38081,0.30486,0.86096,0.0006337,0.0006337,0.0006337
39,4653.73,0.57955,0.45837,0.98303,0.97003,0.95824,0.98494,0.9049,0.3603,0.28897,0.84569,0.0006238,0.0006238,0.0006238
40,5285.05,0.57871,0.46148,0.9898,0.97563,0.94472,0.98209,0.90055,0.3586,0.29235,0.84227,0.0006139,0.0006139,0.0006139
41,5376.6,0.56135,0.45228,0.97361,0.96153,0.95633,0.98142,0.90273,0.36319,0.28865,0.84739,0.000604,0.000604,0.000604
42,5467.14,0.55953,0.44468,0.97626,0.96578,0.95968,0.9844,0.90631,0.35636,0.28593,0.83944,0.0005941,0.0005941,0.0005941
43,5559.36,0.55843,0.4479,0.98491,0.96659,0.94562,0.9786,0.89923,0.36798,0.3062,0.84928,0.0005842,0.0005842,0.0005842
44,5654.43,0.55718,0.43719,0.97332,0.97135,0.96105,0.98412,0.90718,0.35367,0.27317,0.83941,0.0005743,0.0005743,0.0005743
45,5751.28,0.54997,0.43852,0.97527,0.96731,0.9577,0.98413,0.90331,0.35204,0.2769,0.83942,0.0005644,0.0005644,0.0005644
46,5850.68,0.5421,0.43589,0.96908,0.96472,0.9579,0.98265,0.90766,0.34928,0.27165,0.83769,0.0005545,0.0005545,0.0005545
47,5947.95,0.53512,0.4273,0.97285,0.97329,0.95995,0.98487,0.91209,0.34845,0.2745,0.84081,0.0005446,0.0005446,0.0005446
48,6046.55,0.54161,0.42773,0.97236,0.97976,0.95414,0.98416,0.91118,0.34215,0.26539,0.8369,0.0005347,0.0005347,0.0005347
49,6144.92,0.5364,0.42462,0.96944,0.97525,0.96047,0.98466,0.91131,0.34468,0.26208,0.83711,0.0005248,0.0005248,0.0005248
50,6243.68,0.54333,0.43076,0.97308,0.97802,0.95736,0.98293,0.90931,0.3484,0.26345,0.83875,0.0005149,0.0005149,0.0005149
51,6343.03,0.53745,0.41908,0.97347,0.97891,0.95089,0.98303,0.90776,0.34643,0.26756,0.84077,0.000505,0.000505,0.000505
52,6442.17,0.52162,0.41085,0.96438,0.98482,0.95323,0.98553,0.91406,0.33497,0.25921,0.8323,0.0004951,0.0004951,0.0004951
53,6543.1,0.5108,0.40813,0.95997,0.98241,0.95996,0.98651,0.91471,0.33119,0.25551,0.82718,0.0004852,0.0004852,0.0004852
54,6641.84,0.52054,0.40283,0.96001,0.97871,0.96046,0.98746,0.91455,0.33104,0.24738,0.83039,0.0004753,0.0004753,0.0004753
55,6740.69,0.51847,0.40251,0.96029,0.96673,0.96116,0.98427,0.91303,0.33581,0.25592,0.83359,0.0004654,0.0004654,0.0004654
56,6839.81,0.5252,0.39645,0.95455,0.97927,0.96359,0.9865,0.91418,0.33322,0.25174,0.83213,0.0004555,0.0004555,0.0004555
57,6939.53,0.52496,0.40033,0.96304,0.9754,0.96364,0.9867,0.91803,0.32737,0.25147,0.82908,0.0004456,0.0004456,0.0004456
58,7041.3,0.51777,0.39563,0.95479,0.97474,0.96211,0.98657,0.91891,0.3247,0.24731,0.82635,0.0004357,0.0004357,0.0004357
59,7139.96,0.51495,0.391,0.9628,0.97204,0.96558,0.98561,0.91685,0.32545,0.24656,0.82619,0.0004258,0.0004258,0.0004258
60,7240.1,0.51351,0.39683,0.95257,0.98091,0.96468,0.98714,0.92028,0.32543,0.24576,0.82737,0.0004159,0.0004159,0.0004159
61,7339.94,0.49753,0.38407,0.95147,0.97627,0.9633,0.98682,0.91873,0.31884,0.24303,0.8239,0.000406,0.000406,0.000406
62,7448.7,0.49374,0.38251,0.94952,0.98239,0.96148,0.98727,0.92052,0.32055,0.2467,0.82473,0.0003961,0.0003961,0.0003961
63,7551.65,0.49893,0.38582,0.95342,0.97387,0.97324,0.98896,0.92292,0.32138,0.24062,0.82432,0.0003862,0.0003862,0.0003862
64,7651.44,0.49691,0.36991,0.94731,0.97669,0.96752,0.98723,0.92242,0.32089,0.24114,0.82522,0.0003763,0.0003763,0.0003763
65,7749.66,0.50002,0.37705,0.94423,0.981,0.964,0.98664,0.91981,0.31974,0.23993,0.82016,0.0003664,0.0003664,0.0003664
66,7848.44,0.49191,0.37979,0.94829,0.97846,0.96692,0.98947,0.92317,0.31468,0.23578,0.82108,0.0003565,0.0003565,0.0003565
67,7953.27,0.50146,0.37862,0.94432,0.98432,0.9602,0.98787,0.92386,0.31621,0.234,0.8222,0.0003466,0.0003466,0.0003466
68,8053.09,0.48101,0.36511,0.94188,0.97479,0.97184,0.98903,0.92698,0.31355,0.23505,0.8187,0.0003367,0.0003367,0.0003367
69,8153.55,0.50034,0.37937,0.94924,0.97817,0.97052,0.98932,0.92634,0.31488,0.23411,0.82306,0.0003268,0.0003268,0.0003268
70,8259.33,0.49399,0.36903,0.94035,0.97553,0.96915,0.98921,0.92655,0.30993,0.23034,0.81527,0.0003169,0.0003169,0.0003169
71,8369.02,0.48817,0.37209,0.94656,0.98585,0.96834,0.98995,0.92847,0.30875,0.23001,0.81781,0.000307,0.000307,0.000307
72,8476.52,0.47926,0.36072,0.94208,0.98351,0.96728,0.9896,0.92751,0.303,0.22607,0.81312,0.0002971,0.0002971,0.0002971
73,8583.58,0.47318,0.35154,0.93683,0.97971,0.9707,0.99016,0.93092,0.30267,0.22662,0.81421,0.0002872,0.0002872,0.0002872
74,8690.49,0.4788,0.35831,0.94419,0.98064,0.96551,0.98871,0.9296,0.3002,0.22226,0.81086,0.0002773,0.0002773,0.0002773
75,8825.77,0.47348,0.35509,0.93899,0.97611,0.97226,0.98945,0.93069,0.3011,0.22128,0.81124,0.0002674,0.0002674,0.0002674
76,8948.32,0.47415,0.35217,0.93756,0.98231,0.977,0.98978,0.92864,0.30258,0.22086,0.81728,0.0002575,0.0002575,0.0002575
77,9054.88,0.46791,0.35447,0.94412,0.98486,0.97319,0.99046,0.93044,0.30132,0.21895,0.81398,0.0002476,0.0002476,0.0002476
78,9161.11,0.4726,0.34981,0.93434,0.98857,0.968,0.99009,0.93002,0.29941,0.21579,0.81114,0.0002377,0.0002377,0.0002377
79,9267.07,0.46578,0.34851,0.94115,0.98427,0.97709,0.99092,0.93257,0.29222,0.21395,0.80852,0.0002278,0.0002278,0.0002278
80,9373.89,0.4581,0.34597,0.93423,0.98303,0.97285,0.98945,0.92985,0.29646,0.2158,0.80894,0.0002179,0.0002179,0.0002179
81,9477.44,0.46109,0.34213,0.93447,0.9839,0.97285,0.99007,0.93296,0.29696,0.21543,0.81066,0.000208,0.000208,0.000208
82,9590.85,0.46839,0.34225,0.93513,0.98445,0.9721,0.99096,0.93477,0.29228,0.21085,0.80661,0.0001981,0.0001981,0.0001981
83,9695.56,0.45903,0.33946,0.9265,0.98987,0.97373,0.9909,0.93549,0.28864,0.20887,0.80707,0.0001882,0.0001882,0.0001882
84,9814,0.46101,0.3414,0.93287,0.98408,0.97532,0.99023,0.93373,0.28879,0.20974,0.80484,0.0001783,0.0001783,0.0001783
85,9931.22,0.45249,0.33311,0.9276,0.99077,0.9728,0.99145,0.93388,0.28799,0.2099,0.80625,0.0001684,0.0001684,0.0001684
86,10056.4,0.44807,0.33203,0.92398,0.9852,0.97223,0.99096,0.9357,0.2864,0.20869,0.8032,0.0001585,0.0001585,0.0001585
87,10175.1,0.45755,0.3326,0.92946,0.98594,0.9785,0.99137,0.93558,0.2861,0.20799,0.8059,0.0001486,0.0001486,0.0001486
